30/07/14 17:06
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	   101618	 1009341	                  5174448	                         6048719	   173	
Pendientes:       	    61925	  720023	                  3695340	                         4317528	   134	
Únicos:           	    80238	  926826	                  4738644	                         5547531	   173	
Pendientes únicos:	    56183	  675129	                  3461544	                         4046797	   133	


Estadísticas por archivo individual:

Nombre de archivo  	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
perlfaq1.pod       	            159	                  11	             138	                         11	             2431	                224	           2388	                       224	                             12389	                                1181	                           12172	                                       1181	                                    14448	                                       1370	                                  14201	                                              1370	
perlfaq2.pod       	            113	                   3	              89	                          3	             1522	                 37	           1376	                        37	                              8084	                                 193	                            7369	                                        193	                                     9267	                                        219	                                   8440	                                               219	
perlfaq3.pod       	            587	                 363	             505	                        360	             6266	               5282	           6047	                      5262	                             32004	                               27182	                           30951	                                      27070	                                    37064	                                      31521	                                  35861	                                             31392	
perlfaq4.pod       	           1615	                1207	            1381	                       1164	            14230	              13111	          13719	                     12884	                             69825	                               63735	                           67171	                                      62643	                                    82325	                                      75285	                                  79155	                                             73927	
perlfaq5.pod       	            957	                 752	             803	                        721	             8808	               8271	           8392	                      8098	                             42965	                               40087	                           40799	                                      39176	                                    51219	                                      47915	                                  48688	                                             46829	
perlfaq6.pod       	            698	                 552	             536	                        501	             6054	               5873	           5717	                      5645	                             30064	                               28929	                           28095	                                      27706	                                    35971	                                      34679	                                  33578	                                             33141	
perlfaq7.pod       	            620	                 523	             526	                        505	             5917	               5764	           5693	                      5649	                             29685	                               28837	                           28529	                                      28279	                                    35195	                                      34226	                                  33849	                                             33561	
perlfaq8.pod       	            808	                 669	             655	                        623	             8127	               7767	           7690	                      7560	                             40239	                               38296	                           37890	                                      37185	                                    47263	                                      45009	                                  44488	                                             43634	
perlfaq9.pod       	            223	                 187	             196	                        184	             2457	               2322	           2333	                      2268	                             12494	                               11786	                           11872	                                      11537	                                    14429	                                      13628	                                  13711	                                             13332	
perlfilter.pod     	            354	                 181	             294	                        174	             3348	               2032	           3256	                      2013	                             16747	                               10246	                           16193	                                      10111	                                    19572	                                      11981	                                  18945	                                             11822	
perlfork.pod       	            193	                 150	             149	                        139	             2030	               1948	           1971	                      1922	                             10881	                               10453	                           10559	                                      10307	                                    12604	                                      12122	                                  12244	                                             11956	
perlform.pod       	            297	                 223	             229	                        201	             2324	               2199	           2260	                      2173	                             12947	                               11778	                           12347	                                      11500	                                    15369	                                      14045	                                  14622	                                             13648	
perlfunc.pod       	           5071	                   0	            4580	                          0	            57592	                  0	          55321	                         0	                            288738	                                   0	                          277199	                                          0	                                   337904	                                          0	                                 324570	                                                 0	
perlgit.pod        	            498	                  47	             419	                         45	             5329	                594	           5056	                       586	                             26714	                                3030	                           25148	                                       2992	                                    31554	                                       3547	                                  29592	                                              3501	
perlglossary.pod   	           1829	                1201	            1760	                       1200	            23003	              21333	          22875	                     21327	                            116096	                              106703	                          115542	                                     106668	                                   132877	                                     122470	                                 132264	                                            122430	
perlgpl.pod        	            256	                 232	             235	                        230	             2229	               2137	           2132	                      2127	                             10853	                               10439	                           10403	                                      10392	                                    12816	                                      12337	                                  12293	                                             12282	
perlguts.pod       	           1646	                1351	            1523	                       1315	            19128	              18377	          18903	                     18236	                             93958	                               89911	                           92676	                                      89097	                                   110515	                                     105998	                                 109075	                                            105062	
perlhack.pod       	            543	                 346	             447	                        346	             6054	               5045	           5836	                      5045	                             30390	                               25215	                           29289	                                      25215	                                    35371	                                      29434	                                  34112	                                             29434	
perlhacktips.pod   	            740	                 572	             611	                        556	             7451	               7153	           7245	                      7088	                             37737	                               35936	                           36641	                                      35621	                                    44068	                                      42026	                                  42822	                                             41665	
perlhacktut.pod    	            114	                  14	              98	                         12	             1038	                 68	            982	                        59	                              4838	                                 467	                            4508	                                        411	                                     5683	                                        528	                                   5312	                                               463	
perlhist.pod       	            910	                 436	             872	                        436	             6475	               2575	           6263	                      2575	                             24446	                               10190	                           23001	                                      10190	                                    41959	                                      15356	                                  39630	                                             15356	
